iso3,country,compute_share_p50,_host_burden_pct,capacity_prior_consistency_score,external_public_evidence_score
ARE,United Arab Emirates,0.0479507943745564,4.79507943745564,0.2658228238709033,0.4222161941007538
AUS,Australia,0.0248363758031276,2.48363758031276,0.4749794337889726,0.0960159138191096
BEL,Belgium,0.019351435229989,1.9351435229989,0.1334754820542353,0.0525748715959373
BHR,Bahrain,0.0032631882774802,0.32631882774802,0.069506430882668,0.0
BRA,Brazil,0.0232836079007506,2.32836079007506,0.2968518709832636,0.0944887223060525
CAN,Canada,0.0251091852140277,2.51091852140277,0.3936629313187653,0.1017929007637144
CHE,Switzerland,0.0219425832943324,2.19425832943324,0.2496575305722381,0.1043314839655736
CHL,Chile,0.0099731097792184,0.9973109779218401,0.0,0.0422090727146991
CHN,China,0.0157506373464135,1.57506373464135,0.13845676806806,0.1439940266980577
DEU,Germany,0.0256372895259999,2.5637289525999902,0.3818187752084134,0.1381224865737391
ESP,Spain,0.0201630902955498,2.0163090295549804,0.2219692232606781,0.0900778773299757
FIN,Finland,0.0176128141754453,1.7612814175445302,0.1332080930389786,0.100694055949729
FRA,France,0.0810289123853162,8.10289123853162,0.2823920374912727,0.713087113380609
GBR,United Kingdom,0.0303138578837663,3.03138578837663,0.3107965474131586,0.2462603883376242
HKG,Hong Kong,0.0100269776719339,1.00269776719339,0.2230399594603755,0.0244346301009674
IDN,Indonesia,0.0128843709418625,1.28843709418625,0.2032524523141365,0.0394688567182256
IND,India,0.0405882044337662,4.05882044337662,0.4851052381760685,0.4376593894146492
IRL,Ireland,0.0294183581828447,2.94183581828447,0.202151227233408,0.1626026623961342
ISR,Israel,0.0150519560179549,1.50519560179549,0.3092765931855246,0.0641570440914063
ITA,Italy,0.0216326548393817,2.16326548393817,0.2252332524642993,0.1146233885208848
JPN,Japan,0.023723879032881,2.3723879032881,0.3919226464765906,0.1251263038816965
KOR,South Korea,0.0221426799331335,2.21426799331335,0.3475892191641113,0.2636182563946932
MEX,Mexico,0.0152238164659985,1.5223816465998499,0.0976223303148621,0.0473256194111093
MYS,Malaysia,0.0659325722184677,6.59325722184677,0.0006664728125457,0.3516792744402772
NLD,Netherlands,0.0222512908389019,2.22512908389019,0.2043738663303627,0.1010007743222522
NOR,Norway,0.0517822950928651,5.17822950928651,0.1557968339886433,0.5298420865050881
NZL,New Zealand,0.0177712337394002,1.77712337394002,0.1161192645440412,0.0489339806004475
POL,Poland,0.016606821666339,1.6606821666338998,0.1618067968486401,0.0774061864441219
QAT,Qatar,0.0081435731482752,0.81435731482752,0.1142692667049585,0.0
SAU,Saudi Arabia,0.0398279827862384,3.98279827862384,0.0717545690748404,0.4852573599785567
SGP,Singapore,0.0327803304758172,3.27803304758172,0.3083515942659833,0.1410029049972053
SWE,Sweden,0.0210048343537089,2.10048343537089,0.2369854081912613,0.0876894747517104
TWN,Taiwan,0.0113716964438406,1.13716964438406,0.0724013101202771,0.0638785552946892
USA,United States,0.0967889876469828,9.67889876469828,1.0,0.9705547451299348
ZAF,South Africa,0.0175803152502625,1.7580315250262502,0.2213281526091726,0.0547212858961976
